id,eco,name,epd,pgn,key
19,A00,Grob Opening: Alessi Gambit,rnbqkbnr/ppppp1pp/8/5p2/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,1. g4 f5,-8455819700934910082
20,A00,Grob Opening: Double Grob,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,1. g4 g5,-2041612205802235970
21,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",rnbqkbnr/pppppp1p/8/6p1/5PP1/8/PPPPP2P/RNBQKBNR b KQkq -,1. g4 g5 2. f4,-4779428604626942470
22,A00,Grob Opening: Grob Gambit,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2,3264856138584126405
23,A00,Grob Opening: Grob Gambit Declined,rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 c6,3998054299718043252
24,A00,"Grob Opening: Grob Gambit, Basman Gambit",rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 h5 3. gxh5,-1305770641648340833
25,A00,"Grob Opening: Grob Gambit, Fritz Gambit",rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 Bxg4 3. c4,5007280232445585463
26,A00,"Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit",q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -,1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8,7343325991721634318
27,A00,"Grob Opening: Grob Gambit, Keres Gambit",rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3,6443024739672873672
28,A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3,-4802724541386755017
29,A00,Grob Opening: Keene Defense,rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6,2884023676976370017
30,A00,"Grob Opening: Keene Defense, Main Line",rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3 Ne7,-8214477747278850099
31,A00,Grob Opening: London Defense,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -,1. g4 e5 2. h3 Nc6,5799681701990542149
32,A00,Grob Opening: Romford Countergambit,rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 Bxg4 3. c4 d4,-5297591836242830085
33,A00,Grob Opening: Spike Attack,rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 c6 3. g5,-3085016257245847242
34,A00,"Grob Opening: Spike, Hurst Attack",rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -,1. g4 e5 2. Bg2 d5 3. c4,1696178185706425516
35,A00,Grob Opening: Zilbermints Gambit,rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -,1. g4 d5 2. e4 dxe4 3. Nc3,-7504573379448450981
36,A00,"Grob Opening: Zilbermints Gambit, Schiller Defense",rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -,1. g4 d5 2. e4 dxe4 3. Nc3 h5,6068522879194158277
37,A00,"Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit",rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -,1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3,9190407305505365549
38,A00,Hungarian Opening,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq -,1. g3,-4614235903647030181
39,A00,Hungarian Opening: Asten Gambit,r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5,2404429303542301676
40,A00,Hungarian Opening: Burk Gambit,rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq -,1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7 5. d3,5340704152024431923
41,A00,Hungarian Opening: Bücker Gambit,rnbqkbnr/ppp2ppp/8/3pp3/1P6/6P1/P1PPPPBP/RNBQK1NR b KQkq -,1. g3 d5 2. Bg2 e5 3. b4,-2486719595467404152
42,A00,Hungarian Opening: Catalan Formation,rnbqkbnr/ppp2ppp/4p3/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq -,1. g3 d5 2. Bg2 e6,-7531816515701498400
43,A00,Hungarian Opening: Dutch Defense,rnbqkbnr/ppppp1pp/8/5p2/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 f5,-6952529706296345283
44,A00,Hungarian Opening: Indian Defense,rnbqkb1r/pppppppp/5n2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 Nf6,-5322907666393704773
45,A00,Hungarian Opening: Myers Defense,rnbqkbnr/pppppp1p/8/6p1/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 g5,-680044243463244291
46,A00,Hungarian Opening: Pachman Gambit,rnbqkbnr/ppppp2p/6p1/7Q/4p3/6P1/PPPP1P1P/RNB1KBNR w KQkq -,1. g3 f5 2. e4 fxe4 3. Qh5+ g6,-3550104290312129195
47,A00,Hungarian Opening: Paris Gambit,rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQ1RK1 b kq -,1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O,-8863927054845687028
48,A00,Hungarian Opening: Reversed Alekhine,rnbqkbnr/pppp1ppp/8/4p3/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,1. g3 e5 2. Nf3,1446606602729209968
49,A00,"Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit",rnbqkb1r/pppp1ppp/5n2/8/1P2p3/6P1/P1PPPP1P/RNBQKBNR b KQkq -,1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4,-7167712362374653634
50,A00,Hungarian Opening: Reversed Modern Defense,rnbqkbnr/pp2pppp/8/2pp4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq -,1. g3 d5 2. Bg2 c5,3123058394000506547
51,A00,Hungarian Opening: Reversed Norwegian Defense,rnbqkbnr/pppp1ppp/8/8/4p2N/6P1/PPPPPP1P/RNBQKB1R b KQkq -,1. g3 e5 2. Nf3 e4 3. Nh4,-7794467680306027800
52,A00,Hungarian Opening: Sicilian Invitation,rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 c5,-5995417615204119698
53,A00,Hungarian Opening: Slav Formation,rnbqkbnr/pp2pppp/2p5/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq -,1. g3 d5 2. Bg2 c6,2476613567147041847
54,A00,Hungarian Opening: Symmetrical Variation,rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 g6,-2473364053149854811
55,A00,Hungarian Opening: Van Kuijk Gambit,rnbqkbnr/ppppppp1/8/8/7p/5NP1/PPPPPP1P/RNBQKB1R w KQkq -,1. g3 h5 2. Nf3 h4,2315798696661221744
56,A00,Hungarian Opening: Winterberg Gambit,rnbqkbnr/ppp2ppp/8/4p3/2p5/1P4P1/P2PPPBP/RNBQK1NR b KQkq -,1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3,-8592173058137064312
57,A00,Kádas Opening,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq -,1. h4,7767787444569431287
58,A00,Kádas Opening: Beginner's Trap,rnbqkbnr/ppp1pppp/8/3p4/7P/7R/PPPPPPP1/RNBQKBN1 b Qkq -,1. h4 d5 2. Rh3,-2441589520715394342
59,A00,Kádas Opening: Koola-Koola Variation,rnbqkbnr/1ppppppp/8/p7/7P/8/PPPPPPP1/RNBQKBNR w KQkq -,1. h4 a5,612155148034419101
60,A00,Kádas Opening: Kádas Gambit,rnbqkbnr/pp1ppppp/8/2p5/1P5P/8/P1PPPPP1/RNBQKBNR b KQkq -,1. h4 c5 2. b4,-6382706997804502655
61,A00,Kádas Opening: Kádas Gambit,rnbqkbnr/pp2pppp/8/3p4/3p3P/2P2N2/PP2PPP1/RNBQKB1R b KQkq -,1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3,-2330820452136314114
62,A00,Kádas Opening: Kádas Gambit,rnbqkbnr/pppp1ppp/8/8/3p3P/2P5/PP2PPP1/RNBQKBNR b KQkq -,1. h4 e5 2. d4 exd4 3. c3,2299536242259457530
63,A00,Kádas Opening: Myers Variation,rnbqkbnr/pp2pppp/8/2pp4/3PP2P/8/PPP2PP1/RNBQKBNR b KQkq -,1. h4 d5 2. d4 c5 3. e4,6323434827050088972
64,A00,Kádas Opening: Schneider Gambit,rnbqkbnr/pppppp1p/8/6p1/7P/8/PPPPPPP1/RNBQKBNR w KQkq -,1. h4 g5,2501105554032545105
65,A00,Kádas Opening: Steinbok Gambit,rnbqkbnr/ppppp1pp/8/8/4p2P/3P4/PPP2PP1/RNBQKBNR b KQkq -,1. h4 f5 2. e4 fxe4 3. d3,-5419527505732559332
66,A00,Lasker Simul Special,rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,1. g3 h5,8942794016281223365
67,A00,Mieses Opening,rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq -,1. d3,6804411768029237896
68,A00,Mieses Opening: Myers Spike Attack,rnbqkbnr/pppppp1p/6p1/8/6P1/3P4/PPP1PP1P/RNBQKBNR b KQkq -,1. d3 g6 2. g4,1897009179586355421
69,A00,Mieses Opening: Reversed Rat,rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPP1PPPP/RNBQKBNR w KQkq -,1. d3 e5,7270138681455693253
70,A00,Mieses Opening: Venezolana Variation,r1bqkbnr/pp1ppppp/2n5/2p5/8/2NP2P1/PPP1PP1P/R1BQKBNR b KQkq -,1. d3 c5 2. Nc3 Nc6 3. g3,226275741107558308
71,A00,Polish Opening,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq -,1. b4,5992492059401290224
72,A00,"Polish Opening, with d5",rnbqkbnr/ppp1pppp/8/3p4/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 d5,6996249439789806452
73,A00,"Polish Opening, with d5",rnbqkb1r/ppp1pppp/5n2/3p4/1P6/5N2/PBPPPPPP/RN1QKB1R b KQkq -,1. b4 d5 2. Bb2 Nf6 3. Nf3,3673101459524359909
74,A00,Polish Opening: Baltic Defense,rn1qkbnr/ppp1pppp/8/3p1b2/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 d5 2. Bb2 Bf5,1651640988099101110
75,A00,Polish Opening: Birmingham Gambit,rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 c5,4617478600002039493
76,A00,Polish Opening: Bugayev Advance Variation,rnbqkbnr/pppp2pp/5p2/1P2p3/8/8/PBPPPPPP/RN1QKBNR b KQkq -,1. b4 e5 2. Bb2 f6 3. b5,5043054342604201408
77,A00,Polish Opening: Bugayev Attack,rnbqkbnr/pppp1ppp/8/4p3/1P6/P7/2PPPPPP/RNBQKBNR b KQkq -,1. b4 e5 2. a3,6990837784321957402
78,A00,Polish Opening: Czech Defense,rnbqkbnr/ppp2ppp/3p4/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 e5 2. Bb2 d6,-4923899370486203920
79,A00,Polish Opening: Dutch Defense,rnbqkbnr/ppppp1pp/8/5p2/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 f5,8312743530148632726
80,A00,Polish Opening: German Defense,rnb1kbnr/ppp1pppp/3q4/3p4/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 d5 2. Bb2 Qd6,2360700542097739696
81,A00,Polish Opening: Grigorian Variation,r1bqkbnr/pppppppp/2n5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 Nc6,-5261508043748164680
82,A00,Polish Opening: Karniewski Variation,rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 Nh6,-2760200863510104084
83,A00,Polish Opening: King's Indian Variation,rnbqkb1r/pppppp1p/5np1/8/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 Nf6 2. Bb2 g6,-868513303332132615
84,A00,"Polish Opening: King's Indian Variation, Schiffler Attack",rnbqkb1r/pppppp1p/5np1/8/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq -,1. b4 Nf6 2. Bb2 g6 3. e4,8801373169342292482
85,A00,"Polish Opening: King's Indian Variation, Sokolsky Attack",rnbq1rk1/ppp1ppbp/3p1np1/8/1PPP4/4PN2/PB3PPP/RN1QKB1R b KQ -,1. b4 Nf6 2. Bb2 g6 3. c4 Bg7 4. e3 d6 5. Nf3 O-O 6. d4,-395807009109737984
86,A00,Polish Opening: Myers Variation,rnbqkbnr/pp2pppp/2p5/3p4/PP6/8/1BPPPPPP/RN1QKBNR b KQkq -,1. b4 d5 2. Bb2 c6 3. a4,-3678828362326105573
87,A00,Polish Opening: Outflank Variation,rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 c6,5268494307162272833
88,A00,Polish Opening: Queen's Indian Variation,rnbqkb1r/p1pp1ppp/1p2pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 e6 2. Bb2 Nf6 3. b5 b6,609129175890160524
89,A00,Polish Opening: Queenside Defense,rnbqkb1r/1ppp1ppp/p3pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 e6 2. Bb2 Nf6 3. b5 a6,-3618977716431807039
90,A00,Polish Opening: Rooks Swap Line,1nbqkb1r/1ppp1ppp/4pn2/1P6/8/8/2PPPPPP/BN1QKBNR b Kk -,1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1,2848603927206448227
91,A00,Polish Opening: Schiffler-Sokolsky Variation,rnbqkb1r/ppp2ppp/4pn2/1P1p4/8/4P3/PBPP1PPP/RN1QKBNR b KQkq -,1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3,-1529158182929399057
92,A00,Polish Opening: Schuehler Gambit,rnbqkbnr/1p1ppppp/8/pp6/4P3/8/PBPP1PPP/RN1QKBNR b KQkq -,1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4,-2371356774162757506
93,A00,Polish Opening: Symmetrical Variation,rnbqkbnr/p1pppppp/8/1p6/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,1. b4 b5,9151459800860688880
94,A00,Polish Opening: Tartakower Gambit,rnbqkbnr/pppp2pp/5p2/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq -,1. b4 e5 2. Bb2 f6 3. e4,4181271074639252345
95,A00,Polish Opening: Wolferts Gambit,rnbqkbnr/pp1p1ppp/8/2p1p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq -,1. b4 e5 2. Bb2 c5,-5636220398858068577
96,A00,Saragossa Opening,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq -,1. c3,-6214772656428467484
97,A00,Sodium Attack,rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq -,1. Na3,-8251790793723204259
98,A00,Sodium Attack: Celadon Variation,rnbqk1nr/pp3ppp/8/2ppp3/8/P2PP3/P1P2PPP/1RBQKBNR b Kkq -,1. Na3 e5 2. d3 Bxa3 3. bxa3 d5 4. e3 c5 5. Rb1,7929389592092770038
99,A00,Sodium Attack: Chenoboskion Variation,rnbqkbnr/pppppp1p/6p1/8/6P1/N7/PPPPPP1P/R1BQKBNR b KQkq -,1. Na3 g6 2. g4,-3943437752549073144
100,A00,Sodium Attack: Durkin Gambit,r1bqkbnr/pppp2pp/2n5/4pp2/2N1P3/8/PPPP1PPP/R1BQKBNR w KQkq -,1. Na3 e5 2. Nc4 Nc6 3. e4 f5,-2921815177544883161
101,A00,Valencia Opening,rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPPNPPPP/R1BQKBNR b KQkq -,1. d3 e5 2. Nd2,-7227798802551568951
102,A00,Van Geet Opening,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq -,1. Nc3,1465075177951687690
103,A00,Van Geet Opening: Battambang Variation,rnbqkbnr/pppp1ppp/8/4p3/8/P1N5/1PPPPPPP/R1BQKBNR b KQkq -,1. a3 e5 2. Nc3,2772269271677955040
104,A00,Van Geet Opening: Billockus-Johansen Gambit,rnbqk1nr/pppp1ppp/8/2b1p3/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq -,1. Nc3 e5 2. Nf3 Bc5,-3153456107773467552
105,A00,Van Geet Opening: Damhaug Gambit,rnbqkbnr/ppp2ppp/8/3pp3/5P2/2N5/PPPPP1PP/R1BQKBNR w KQkq -,1. Nc3 d5 2. f4 e5,4820792778071575431
106,A00,Van Geet Opening: Dougherty Gambit,rnbqkbnr/ppp1pppp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -,1. Nc3 d5 2. e4 dxe4 3. f3,748075924343191783
107,A00,Van Geet Opening: Dunst-Perrenet Gambit,rnbqkbnr/ppp1pppp/8/8/4p3/2NP4/PPP2PPP/R1BQKBNR b KQkq -,1. Nc3 d5 2. e4 dxe4 3. d3,7162963162572965067
108,A00,Van Geet Opening: Düsseldorf Gambit,rnbqkbnr/pp1ppppp/8/2p5/1P6/2N5/P1PPPPPP/R1BQKBNR b KQkq -,1. Nc3 c5 2. b4,-2813528932832781956
109,A00,Van Geet Opening: Gladbacher Gambit,rnbqkbnr/ppp2ppp/8/4p3/4p3/1PNP4/P1P2PPP/R1BQKBNR b KQkq -,1. Nc3 e5 2. b3 d5 3. e4 dxe4 4. d3,8370859884375905062
110,A00,Van Geet Opening: Hector Gambit,rnbqkbnr/ppp1pppp/8/8/2B1p3/2N5/PPPP1PPP/R1BQK1NR b KQkq -,1. Nc3 d5 2. e4 dxe4 3. Bc4,-8740281203502713256
111,A00,Van Geet Opening: Hergert Gambit,r1bqkbnr/ppp2ppp/2np4/4P3/8/2N5/PPPPP1PP/R1BQKBNR w KQkq -,1. Nc3 d6 2. f4 e5 3. fxe5 Nc6,1331013163817715982
112,A00,Van Geet Opening: Hulsemann Gambit,rn1qkbnr/ppp2ppp/4b3/3pp2Q/8/2N1P3/PPPP1PPP/R1B1KBNR w KQkq -,1. Nc3 e5 2. e3 d5 3. Qh5 Be6,6992928577974769151
113,A00,Van Geet Opening: Jendrossek Gambit,rnbqkb1r/pp2p1pp/5n2/2p2p2/1P1p1P2/5N2/P1PPPNPP/R1BQKB1R b KQkq -,1. Nc3 d5 2. f4 d4 3. Ne4 f5 4. Nf2 Nf6 5. Nf3 c5 6. b4,-368093079997008761
114,A00,Van Geet Opening: Kluever Gambit,rnbqkbnr/ppppp1pp/8/8/4p3/2NP4/PPP2PPP/R1BQKBNR b KQkq -,1. Nc3 f5 2. e4 fxe4 3. d3,-3796042006248311071
115,A00,Van Geet Opening: Laroche Gambit,rnbqkbnr/p1pppppp/8/1p6/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,1. Nc3 b5,4070658025405969418
116,A00,Van Geet Opening: Liebig Gambit,rnbqkb1r/ppp2ppp/5n2/3pp2Q/8/2N1P3/PPPP1PPP/R1B1KBNR w KQkq -,1. Nc3 e5 2. e3 d5 3. Qh5 Nf6,1986492432225755467
117,A00,Van Geet Opening: Melleby Gambit,rnbqkbnr/pp2pppp/8/2p5/3pNP2/8/PPPPP1PP/R1BQKBNR w KQkq -,1. Nc3 d5 2. f4 d4 3. Ne4 c5,-5615666119594655632
118,A00,Van Geet Opening: Myers Attack,rnbqkbnr/pppppp1p/6p1/8/7P/2N5/PPPPPPP1/R1BQKBNR b KQkq -,1. Nc3 g6 2. h4,-7965087525378827088
119,A00,Van Geet Opening: Napoleon Attack,r1bqkbnr/pppp1ppp/2n5/4p3/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq -,1. Nc3 e5 2. Nf3 Nc6 3. d4,-3549998008324416552
120,A00,Van Geet Opening: Novosibirsk Variation,r1bqkbnr/pp1ppppp/2n5/8/7Q/2N5/PPP1PPPP/R1B1KBNR b KQkq -,1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4,-5380381423154948810
121,A00,Van Geet Opening: Nowokunski Gambit,rnbqkbnr/pppp1ppp/8/8/4Pp2/2N5/PPPP2PP/R1BQKBNR b KQkq e3,1. Nc3 e5 2. f4 exf4 3. e4,2403236508241812578
122,A00,Van Geet Opening: Pfeiffer Gambit,rnbqkbnr/ppp2ppp/8/4p3/3pNP2/8/PPPPP1PP/R1BQKBNR w KQkq -,1. Nc3 d5 2. f4 d4 3. Ne4 e5,-7230896365988106232
123,A00,"Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit",rnbqkbnr/ppp2ppp/8/4p3/3pNP2/5N2/PPPPP1PP/R1BQKB1R b KQkq -,1. Nc3 d5 2. f4 d4 3. Ne4 e5 4. Nf3,777358092732337006
124,A00,Van Geet Opening: Reversed Nimzowitsch,rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,1. Nc3 e5,3377249967292672839
125,A00,Van Geet Opening: Reversed Scandinavian,r1bqkbnr/pppp1ppp/2n5/8/Q7/2N5/PPP1PPPP/R1B1KBNR b KQkq -,1. Nc3 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qa4,4502781333288719305
126,A00,Van Geet Opening: Sicilian Two Knights,r1bqkbnr/pp1ppppp/2n5/8/3N4/2N5/PPP1PPPP/R1BQKB1R b KQkq -,1. Nc3 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4,5550541496364867594
127,A00,Van Geet Opening: Sleipnir Gambit,rnbqk1nr/ppp2ppp/8/3pp3/1b1P4/2N1P3/PPP2PPP/R1BQKBNR w KQkq -,1. Nc3 d5 2. e3 e5 3. d4 Bb4,6054952688720945186
128,A00,Van Geet Opening: Twyble Attack,rnbqkbnr/pp1ppppp/8/2p5/8/2N5/PPPPPPPP/1RBQKBNR b Kkq -,1. Nc3 c5 2. Rb1,-1648321002321660936
129,A00,Van Geet Opening: Tübingen Gambit,rnbqkb1r/pppppppp/5n2/8/6P1/2N5/PPPPPP1P/R1BQKBNR b KQkq -,1. Nc3 Nf6 2. g4,4315779338203808577
130,A00,Van Geet Opening: Venezolana Variation,rnbqkb1r/ppp1pppp/5n2/3p4/8/2NP2P1/PPP1PP1P/R1BQKBNR b KQkq -,1. Nc3 d5 2. d3 Nf6 3. g3,-3592230065859919171
